"id","survived","pclass","sex","age","sibsp","parch","fare","embarked","farelevel"
"52","N","P3","male",21,0,0,7.8,"S","L"
"53","Y","P1","female",49,1,0,76.7292,"C","L"
"54","Y","P2","female",29,1,0,26,"S","L"
"55","N","P1","male",65,0,1,61.9792,"C","L"
"56","Y","P1","male",?,0,0,35.5,"S","L"
"57","Y","P2","female",21,0,0,10.5,"S","L"
"58","N","P3","male",28.5,0,0,7.2292,"C","L"
"59","Y","P2","female",5,1,2,27.75,"S","L"
"60","N","P3","male",11,5,2,46.9,"S","L"
"61","N","P3","male",22,0,0,7.2292,"C","L"
"62","Y","P1","female",38,0,0,80,?,"L"
"63","N","P1","male",45,1,0,83.475,"S","L"
"64","N","P3","male",4,3,2,27.9,"S","L"
"65","N","P1","male",?,0,0,27.7208,"C","L"
"66","Y","P3","male",?,1,1,15.2458,"C","L"
"67","Y","P2","female",29,0,0,10.5,"S","L"
"68","N","P3","male",19,0,0,8.1583,"S","L"
"69","Y","P3","female",17,4,2,7.925,"S","L"
"70","N","P3","male",26,2,0,8.6625,"S","L"
"71","N","P2","male",32,0,0,10.5,"S","L"
"72","N","P3","female",16,5,2,46.9,"S","L"
"73","N","P2","male",21,0,0,73.5,"S","L"
"74","N","P3","male",26,1,0,14.4542,"C","L"
"75","Y","P3","male",32,0,0,56.4958,"S","L"
"76","N","P3","male",25,0,0,7.65,"S","L"
"77","N","P3","male",?,0,0,7.8958,"S","L"
"78","N","P3","male",?,0,0,8.05,"S","L"
"79","Y","P2","male",0.83,0,2,29,"S","L"
"80","Y","P3","female",30,0,0,12.475,"S","L"
"81","N","P3","male",22,0,0,9,"S","L"
"82","Y","P3","male",29,0,0,9.5,"S","L"
"83","Y","P3","female",?,0,0,7.7875,"Q","L"
"84","N","P1","male",28,0,0,47.1,"S","L"
"85","Y","P2","female",17,0,0,10.5,"S","L"
"86","Y","P3","female",33,3,0,15.85,"S","L"
"87","N","P3","male",16,1,3,34.375,"S","L"
"88","N","P3","male",?,0,0,8.05,"S","L"
"89","Y","P1","female",23,3,2,263,"S","H"
"90","N","P3","male",24,0,0,8.05,"S","L"
"91","N","P3","male",29,0,0,8.05,"S","L"
"92","N","P3","male",20,0,0,7.8542,"S","L"
"93","N","P1","male",46,1,0,61.175,"S","L"
"94","N","P3","male",26,1,2,20.575,"S","L"
"95","N","P3","male",59,0,0,7.25,"S","L"
"96","N","P3","male",?,0,0,8.05,"S","L"
"97","N","P1","male",71,0,0,34.6542,"C","L"
"98","Y","P1","male",23,0,1,63.3583,"C","L"
"99","Y","P2","female",34,0,1,23,"S","L"
"100","N","P2","male",34,1,0,26,"S","L"
"101","N","P3","female",28,0,0,7.8958,"S","L"
"102","N","P3","male",?,0,0,7.8958,"S","L"
"103","N","P1","male",21,0,1,77.2875,"S","L"
"104","N","P3","male",33,0,0,8.6542,"S","L"
"105","N","P3","male",37,2,0,7.925,"S","L"
"106","N","P3","male",28,0,0,7.8958,"S","L"
"107","Y","P3","female",21,0,0,7.65,"S","L"
"108","Y","P3","male",?,0,0,7.775,"S","L"
"109","N","P3","male",38,0,0,7.8958,"S","L"
"110","Y","P3","female",?,1,0,24.15,"Q","L"
"111","N","P1","male",47,0,0,52,"S","L"
"112","N","P3","female",14.5,1,0,14.4542,"C","L"
"113","N","P3","male",22,0,0,8.05,"S","L"
"114","N","P3","female",20,1,0,9.825,"S","L"
"115","N","P3","female",17,0,0,14.4583,"C","L"
"116","N","P3","male",21,0,0,7.925,"S","L"
"117","N","P3","male",70.5,0,0,7.75,"Q","L"
"118","N","P2","male",29,1,0,21,"S","L"
"119","N","P1","male",24,0,1,247.5208,"C","H"
"120","N","P3","female",2,4,2,31.275,"S","L"
"121","N","P2","male",21,2,0,73.5,"S","L"
"122","N","P3","male",?,0,0,8.05,"S","L"
"123","N","P2","male",32.5,1,0,30.0708,"C","L"
"124","Y","P2","female",32.5,0,0,13,"S","L"
"125","N","P1","male",54,0,1,77.2875,"S","L"
"126","Y","P3","male",12,1,0,11.2417,"C","L"
"127","N","P3","male",?,0,0,7.75,"Q","L"
"128","Y","P3","male",24,0,0,7.1417,"S","L"
"129","Y","P3","female",?,1,1,22.3583,"C","L"
"130","N","P3","male",45,0,0,6.975,"S","L"
"131","N","P3","male",33,0,0,7.8958,"C","L"
"132","N","P3","male",20,0,0,7.05,"S","L"
"133","N","P3","female",47,1,0,14.5,"S","L"
"134","Y","P2","female",29,1,0,26,"S","L"
"135","N","P2","male",25,0,0,13,"S","L"
"136","N","P2","male",23,0,0,15.0458,"C","L"
"137","Y","P1","female",19,0,2,26.2833,"S","L"
"138","N","P1","male",37,1,0,53.1,"S","L"
"139","N","P3","male",16,0,0,9.2167,"S","L"
"140","N","P1","male",24,0,0,79.2,"C","L"
"141","N","P3","female",?,0,2,15.2458,"C","L"
"142","Y","P3","female",22,0,0,7.75,"S","L"
"143","Y","P3","female",24,1,0,15.85,"S","L"
"144","N","P3","male",19,0,0,6.75,"Q","L"
"145","N","P2","male",18,0,0,11.5,"S","L"
"146","N","P2","male",19,1,1,36.75,"S","L"
"147","Y","P3","male",27,0,0,7.7958,"S","L"
"148","N","P3","female",9,2,2,34.375,"S","L"
"149","N","P2","male",36.5,0,2,26,"S","L"
"150","N","P2","male",42,0,0,13,"S","L"
"151","N","P2","male",51,0,0,12.525,"S","L"
"152","Y","P1","female",22,1,0,66.6,"S","L"
"153","N","P3","male",55.5,0,0,8.05,"S","L"
"154","N","P3","male",40.5,0,2,14.5,"S","L"
"155","N","P3","male",?,0,0,7.3125,"S","L"
"156","N","P1","male",51,0,1,61.3792,"C","L"
"157","Y","P3","female",16,0,0,7.7333,"Q","L"
"158","N","P3","male",30,0,0,8.05,"S","L"
"159","N","P3","male",?,0,0,8.6625,"S","L"
"160","N","P3","male",?,8,2,69.55,"S","L"
"161","N","P3","male",44,0,1,16.1,"S","L"
"162","Y","P2","female",40,0,0,15.75,"S","L"
"163","N","P3","male",26,0,0,7.775,"S","L"
"164","N","P3","male",17,0,0,8.6625,"S","L"
"165","N","P3","male",1,4,1,39.6875,"S","L"
"166","Y","P3","male",9,0,2,20.525,"S","L"
"167","Y","P1","female",?,0,1,55,"S","L"
"168","N","P3","female",45,1,4,27.9,"S","L"
"169","N","P1","male",?,0,0,25.925,"S","L"
"170","N","P3","male",28,0,0,56.4958,"S","L"
"171","N","P1","male",61,0,0,33.5,"S","L"
"172","N","P3","male",4,4,1,29.125,"Q","L"
"173","Y","P3","female",1,1,1,11.1333,"S","L"
"174","N","P3","male",21,0,0,7.925,"S","L"
"175","N","P1","male",56,0,0,30.6958,"C","L"
"176","N","P3","male",18,1,1,7.8542,"S","L"
"177","N","P3","male",?,3,1,25.4667,"S","L"
"178","N","P1","female",50,0,0,28.7125,"C","L"
"179","N","P2","male",30,0,0,13,"S","L"
"180","N","P3","male",36,0,0,0,"S","L"
"181","N","P3","female",?,8,2,69.55,"S","L"
"182","N","P2","male",?,0,0,15.05,"C","L"
"183","N","P3","male",9,4,2,31.3875,"S","L"
"184","Y","P2","male",1,2,1,39,"S","L"
"185","Y","P3","female",4,0,2,22.025,"S","L"
"186","N","P1","male",?,0,0,50,"S","L"
"187","Y","P3","female",?,1,0,15.5,"Q","L"
"188","Y","P1","male",45,0,0,26.55,"S","L"
"189","N","P3","male",40,1,1,15.5,"Q","L"
"190","N","P3","male",36,0,0,7.8958,"S","L"
"191","Y","P2","female",32,0,0,13,"S","L"
"192","N","P2","male",19,0,0,13,"S","L"
"193","Y","P3","female",19,1,0,7.8542,"S","L"
"194","Y","P2","male",3,1,1,26,"S","L"
"195","Y","P1","female",44,0,0,27.7208,"C","L"
"196","Y","P1","female",58,0,0,146.5208,"C","H"
"197","N","P3","male",?,0,0,7.75,"Q","L"
"198","N","P3","male",42,0,1,8.4042,"S","L"
"199","Y","P3","female",?,0,0,7.75,"Q","L"
"200","N","P2","female",24,0,0,13,"S","L"
"201","N","P3","male",28,0,0,9.5,"S","L"
"202","N","P3","male",?,8,2,69.55,"S","L"
"203","N","P3","male",34,0,0,6.4958,"S","L"
"204","N","P3","male",45.5,0,0,7.225,"C","L"
"205","Y","P3","male",18,0,0,8.05,"S","L"
"206","N","P3","female",2,0,1,10.4625,"S","L"
"207","N","P3","male",32,1,0,15.85,"S","L"
"208","Y","P3","male",26,0,0,18.7875,"C","L"
"209","Y","P3","female",16,0,0,7.75,"Q","L"
"210","Y","P1","male",40,0,0,31,"C","L"
"211","N","P3","male",24,0,0,7.05,"S","L"
"212","Y","P2","female",35,0,0,21,"S","L"
"213","N","P3","male",22,0,0,7.25,"S","L"
"214","N","P2","male",30,0,0,13,"S","L"
"215","N","P3","male",?,1,0,7.75,"Q","L"
"216","Y","P1","female",31,1,0,113.275,"C","H"
"217","Y","P3","female",27,0,0,7.925,"S","L"
"218","N","P2","male",42,1,0,27,"S","L"
"219","Y","P1","female",32,0,0,76.2917,"C","L"
"220","N","P2","male",30,0,0,10.5,"S","L"
"221","Y","P3","male",16,0,0,8.05,"S","L"
"222","N","P2","male",27,0,0,13,"S","L"
"223","N","P3","male",51,0,0,8.05,"S","L"
"224","N","P3","male",?,0,0,7.8958,"S","L"
"225","Y","P1","male",38,1,0,90,"S","L"
"226","N","P3","male",22,0,0,9.35,"S","L"
"227","Y","P2","male",19,0,0,10.5,"S","L"
"228","N","P3","male",20.5,0,0,7.25,"S","L"
"229","N","P2","male",18,0,0,13,"S","L"
"230","N","P3","female",?,3,1,25.4667,"S","L"
"231","Y","P1","female",35,1,0,83.475,"S","L"
"232","N","P3","male",29,0,0,7.775,"S","L"
"233","N","P2","male",59,0,0,13.5,"S","L"
"234","Y","P3","female",5,4,2,31.3875,"S","L"
"235","N","P2","male",24,0,0,10.5,"S","L"
"236","N","P3","female",?,0,0,7.55,"S","L"
"237","N","P2","male",44,1,0,26,"S","L"
"238","Y","P2","female",8,0,2,26.25,"S","L"
"239","N","P2","male",19,0,0,10.5,"S","L"
"240","N","P2","male",33,0,0,12.275,"S","L"
"241","N","P3","female",?,1,0,14.4542,"C","L"
"242","Y","P3","female",?,1,0,15.5,"Q","L"
"243","N","P2","male",29,0,0,10.5,"S","L"
"244","N","P3","male",22,0,0,7.125,"S","L"
"245","N","P3","male",30,0,0,7.225,"C","L"
"246","N","P1","male",44,2,0,90,"Q","L"
"247","N","P3","female",25,0,0,7.775,"S","L"
"248","Y","P2","female",24,0,2,14.5,"S","L"
"249","Y","P1","male",37,1,1,52.5542,"S","L"
"250","N","P2","male",54,1,0,26,"S","L"
"251","N","P3","male",?,0,0,7.25,"S","L"
"252","N","P3","female",29,1,1,10.4625,"S","L"
"253","N","P1","male",62,0,0,26.55,"S","L"
"254","N","P3","male",30,1,0,16.1,"S","L"
"255","N","P3","female",41,0,2,20.2125,"S","L"
"256","Y","P3","female",29,0,2,15.2458,"C","L"
"257","Y","P1","female",?,0,0,79.2,"C","L"
"258","Y","P1","female",30,0,0,86.5,"S","L"
"259","Y","P1","female",35,0,0,512.3292,"C","H"
"260","Y","P2","female",50,0,1,26,"S","L"
"261","N","P3","male",?,0,0,7.75,"Q","L"
"262","Y","P3","male",3,4,2,31.3875,"S","L"
"263","N","P1","male",52,1,1,79.65,"S","L"
"264","N","P1","male",40,0,0,0,"S","L"
"265","N","P3","female",?,0,0,7.75,"Q","L"
"266","N","P2","male",36,0,0,10.5,"S","L"
"267","N","P3","male",16,4,1,39.6875,"S","L"
"268","Y","P3","male",25,1,0,7.775,"S","L"
"269","Y","P1","female",58,0,1,153.4625,"S","H"
"270","Y","P1","female",35,0,0,135.6333,"S","H"
"271","N","P1","male",?,0,0,31,"S","L"
"272","Y","P3","male",25,0,0,0,"S","L"
"273","Y","P2","female",41,0,1,19.5,"S","L"
"274","N","P1","male",37,0,1,29.7,"C","L"
"275","Y","P3","female",?,0,0,7.75,"Q","L"
"276","Y","P1","female",63,1,0,77.9583,"S","L"
"277","N","P3","female",45,0,0,7.75,"S","L"
"278","N","P2","male",?,0,0,0,"S","L"
"279","N","P3","male",7,4,1,29.125,"Q","L"
"280","Y","P3","female",35,1,1,20.25,"S","L"
"281","N","P3","male",65,0,0,7.75,"Q","L"
"282","N","P3","male",28,0,0,7.8542,"S","L"
"283","N","P3","male",16,0,0,9.5,"S","L"
"284","Y","P3","male",19,0,0,8.05,"S","L"
"285","N","P1","male",?,0,0,26,"S","L"
"286","N","P3","male",33,0,0,8.6625,"C","L"
"287","Y","P3","male",30,0,0,9.5,"S","L"
"288","N","P3","male",22,0,0,7.8958,"S","L"
"289","Y","P2","male",42,0,0,13,"S","L"
"290","Y","P3","female",22,0,0,7.75,"Q","L"
"291","Y","P1","female",26,0,0,78.85,"S","L"
"292","Y","P1","female",19,1,0,91.0792,"C","L"
"293","N","P2","male",36,0,0,12.875,"C","L"
"294","N","P3","female",24,0,0,8.85,"S","L"
"295","N","P3","male",24,0,0,7.8958,"S","L"
"296","N","P1","male",?,0,0,27.7208,"C","L"
"297","N","P3","male",23.5,0,0,7.2292,"C","L"
"298","N","P1","female",2,1,2,151.55,"S","H"
"299","Y","P1","male",?,0,0,30.5,"S","L"
"300","Y","P1","female",50,0,1,247.5208,"C","H"
"301","Y","P3","female",?,0,0,7.75,"Q","L"
"302","Y","P3","male",?,2,0,23.25,"Q","L"
"303","N","P3","male",19,0,0,0,"S","L"
"304","Y","P2","female",?,0,0,12.35,"Q","L"
"305","N","P3","male",?,0,0,8.05,"S","L"
"306","Y","P1","male",0.92,1,2,151.55,"S","H"
"307","Y","P1","female",?,0,0,110.8833,"C","H"
"308","Y","P1","female",17,1,0,108.9,"C","H"
"309","N","P2","male",30,1,0,24,"C","L"
"310","Y","P1","female",30,0,0,56.9292,"C","L"
"311","Y","P1","female",24,0,0,83.1583,"C","L"
"312","Y","P1","female",18,2,2,262.375,"C","H"
"313","N","P2","female",26,1,1,26,"S","L"
"314","N","P3","male",28,0,0,7.8958,"S","L"
"315","N","P2","male",43,1,1,26.25,"S","L"
"316","Y","P3","female",26,0,0,7.8542,"S","L"
"317","Y","P2","female",24,1,0,26,"S","L"
"318","N","P2","male",54,0,0,14,"S","L"
"319","Y","P1","female",31,0,2,164.8667,"S","H"
"320","Y","P1","female",40,1,1,134.5,"C","H"
"321","N","P3","male",22,0,0,7.25,"S","L"
"322","N","P3","male",27,0,0,7.8958,"S","L"
"323","Y","P2","female",30,0,0,12.35,"Q","L"
"324","Y","P2","female",22,1,1,29,"S","L"
"325","N","P3","male",?,8,2,69.55,"S","L"
"326","Y","P1","female",36,0,0,135.6333,"C","H"
"327","N","P3","male",61,0,0,6.2375,"S","L"
"328","Y","P2","female",36,0,0,13,"S","L"
"329","Y","P3","female",31,1,1,20.525,"S","L"
"330","Y","P1","female",16,0,1,57.9792,"C","L"
"331","Y","P3","female",?,2,0,23.25,"Q","L"
"332","N","P1","male",45.5,0,0,28.5,"S","L"
"333","N","P1","male",38,0,1,153.4625,"S","H"
"334","N","P3","male",16,2,0,18,"S","L"
"335","Y","P1","female",?,1,0,133.65,"S","H"
"336","N","P3","male",?,0,0,7.8958,"S","L"
"337","N","P1","male",29,1,0,66.6,"S","L"
"338","Y","P1","female",41,0,0,134.5,"C","H"
"339","Y","P3","male",45,0,0,8.05,"S","L"
"340","N","P1","male",45,0,0,35.5,"S","L"
"341","Y","P2","male",2,1,1,26,"S","L"
"342","Y","P1","female",24,3,2,263,"S","H"
"343","N","P2","male",28,0,0,13,"S","L"
"344","N","P2","male",25,0,0,13,"S","L"
"345","N","P2","male",36,0,0,13,"S","L"
"346","Y","P2","female",24,0,0,13,"S","L"
"347","Y","P2","female",40,0,0,13,"S","L"
"348","Y","P3","female",?,1,0,16.1,"S","L"
"349","Y","P3","male",3,1,1,15.9,"S","L"
"350","N","P3","male",42,0,0,8.6625,"S","L"
"351","N","P3","male",23,0,0,9.225,"S","L"
"352","N","P1","male",?,0,0,35,"S","L"
"353","N","P3","male",15,1,1,7.2292,"C","L"
"354","N","P3","male",25,1,0,17.8,"S","L"
"355","N","P3","male",?,0,0,7.225,"C","L"
"356","N","P3","male",28,0,0,9.5,"S","L"
"357","Y","P1","female",22,0,1,55,"S","L"
"358","N","P2","female",38,0,0,13,"S","L"
"359","Y","P3","female",?,0,0,7.8792,"Q","L"
"360","Y","P3","female",?,0,0,7.8792,"Q","L"
"361","N","P3","male",40,1,4,27.9,"S","L"
"362","N","P2","male",29,1,0,27.7208,"C","L"
"363","N","P3","female",45,0,1,14.4542,"C","L"
"364","N","P3","male",35,0,0,7.05,"S","L"
"365","N","P3","male",?,1,0,15.5,"Q","L"
"366","N","P3","male",30,0,0,7.25,"S","L"
"367","Y","P1","female",60,1,0,75.25,"C","L"
"368","Y","P3","female",?,0,0,7.2292,"C","L"
"369","Y","P3","female",?,0,0,7.75,"Q","L"
"370","Y","P1","female",24,0,0,69.3,"C","L"
"371","Y","P1","male",25,1,0,55.4417,"C","L"
"372","N","P3","male",18,1,0,6.4958,"S","L"
"373","N","P3","male",19,0,0,8.05,"S","L"
"374","N","P1","male",22,0,0,135.6333,"C","H"
"375","N","P3","female",3,3,1,21.075,"S","L"
"376","Y","P1","female",?,1,0,82.1708,"C","L"
"377","Y","P3","female",22,0,0,7.25,"S","L"
"378","N","P1","male",27,0,2,211.5,"C","H"
"379","N","P3","male",20,0,0,4.0125,"C","L"
"380","N","P3","male",19,0,0,7.775,"S","L"
"381","Y","P1","female",42,0,0,227.525,"C","H"
"382","Y","P3","female",1,0,2,15.7417,"C","L"
"383","N","P3","male",32,0,0,7.925,"S","L"
"384","Y","P1","female",35,1,0,52,"S","L"
"385","N","P3","male",?,0,0,7.8958,"S","L"
"386","N","P2","male",18,0,0,73.5,"S","L"
"387","N","P3","male",1,5,2,46.9,"S","L"
"388","Y","P2","female",36,0,0,13,"S","L"
"389","N","P3","male",?,0,0,7.7292,"Q","L"
"390","Y","P2","female",17,0,0,12,"C","L"
"391","Y","P1","male",36,1,2,120,"S","H"
"392","Y","P3","male",21,0,0,7.7958,"S","L"
"393","N","P3","male",28,2,0,7.925,"S","L"
"394","Y","P1","female",23,1,0,113.275,"C","H"
"395","Y","P3","female",24,0,2,16.7,"S","L"
"396","N","P3","male",22,0,0,7.7958,"S","L"
"397","N","P3","female",31,0,0,7.8542,"S","L"
"398","N","P2","male",46,0,0,26,"S","L"
"399","N","P2","male",23,0,0,10.5,"S","L"
"400","Y","P2","female",28,0,0,12.65,"S","L"
"401","Y","P3","male",39,0,0,7.925,"S","L"
"402","N","P3","male",26,0,0,8.05,"S","L"
"403","N","P3","female",21,1,0,9.825,"S","L"
"404","N","P3","male",28,1,0,15.85,"S","L"
"405","N","P3","female",20,0,0,8.6625,"S","L"
"406","N","P2","male",34,1,0,21,"S","L"
"407","N","P3","male",51,0,0,7.75,"S","L"
"408","Y","P2","male",3,1,1,18.75,"S","L"
"409","N","P3","male",21,0,0,7.775,"S","L"
"410","N","P3","female",?,3,1,25.4667,"S","L"
"411","N","P3","male",?,0,0,7.8958,"S","L"
"412","N","P3","male",?,0,0,6.8583,"Q","L"
"413","Y","P1","female",33,1,0,90,"Q","L"
"414","N","P2","male",?,0,0,0,"S","L"
"415","Y","P3","male",44,0,0,7.925,"S","L"
"416","N","P3","female",?,0,0,8.05,"S","L"
"417","Y","P2","female",34,1,1,32.5,"S","L"
"418","Y","P2","female",18,0,2,13,"S","L"
"419","N","P2","male",30,0,0,13,"S","L"
"420","N","P3","female",10,0,2,24.15,"S","L"
"421","N","P3","male",?,0,0,7.8958,"C","L"
"422","N","P3","male",21,0,0,7.7333,"Q","L"
"423","N","P3","male",29,0,0,7.875,"S","L"
"424","N","P3","female",28,1,1,14.4,"S","L"
"425","N","P3","male",18,1,1,20.2125,"S","L"
"426","N","P3","male",?,0,0,7.25,"S","L"
"427","Y","P2","female",28,1,0,26,"S","L"
"428","Y","P2","female",19,0,0,26,"S","L"
"429","N","P3","male",?,0,0,7.75,"Q","L"
"430","Y","P3","male",32,0,0,8.05,"S","L"
"431","Y","P1","male",28,0,0,26.55,"S","L"
"432","Y","P3","female",?,1,0,16.1,"S","L"
"433","Y","P2","female",42,1,0,26,"S","L"
"434","N","P3","male",17,0,0,7.125,"S","L"
"435","N","P1","male",50,1,0,55.9,"S","L"
"436","Y","P1","female",14,1,2,120,"S","H"
"437","N","P3","female",21,2,2,34.375,"S","L"
"438","Y","P2","female",24,2,3,18.75,"S","L"
"439","N","P1","male",64,1,4,263,"S","H"
"440","N","P2","male",31,0,0,10.5,"S","L"
"441","Y","P2","female",45,1,1,26.25,"S","L"
"442","N","P3","male",20,0,0,9.5,"S","L"
"443","N","P3","male",25,1,0,7.775,"S","L"
"444","Y","P2","female",28,0,0,13,"S","L"
"445","Y","P3","male",?,0,0,8.1125,"S","L"
"446","Y","P1","male",4,0,2,81.8583,"S","L"
"447","Y","P2","female",13,0,1,19.5,"S","L"
"448","Y","P1","male",34,0,0,26.55,"S","L"
"449","Y","P3","female",5,2,1,19.2583,"C","L"
"450","Y","P1","male",52,0,0,30.5,"S","L"
"451","N","P2","male",36,1,2,27.75,"S","L"
"452","N","P3","male",?,1,0,19.9667,"S","L"
"453","N","P1","male",30,0,0,27.75,"C","L"
"454","Y","P1","male",49,1,0,89.1042,"C","L"
"455","N","P3","male",?,0,0,8.05,"S","L"
"456","Y","P3","male",29,0,0,7.8958,"C","L"
"457","N","P1","male",65,0,0,26.55,"S","L"
"458","Y","P1","female",?,1,0,51.8625,"S","L"
"459","Y","P2","female",50,0,0,10.5,"S","L"
"460","N","P3","male",?,0,0,7.75,"Q","L"
"461","Y","P1","male",48,0,0,26.55,"S","L"
"462","N","P3","male",34,0,0,8.05,"S","L"
"463","N","P1","male",47,0,0,38.5,"S","L"
"464","N","P2","male",48,0,0,13,"S","L"
"465","N","P3","male",?,0,0,8.05,"S","L"
"466","N","P3","male",38,0,0,7.05,"S","L"
"467","N","P2","male",?,0,0,0,"S","L"
"468","N","P1","male",56,0,0,26.55,"S","L"
"469","N","P3","male",?,0,0,7.725,"Q","L"
"470","Y","P3","female",0.75,2,1,19.2583,"C","L"
"471","N","P3","male",?,0,0,7.25,"S","L"
"472","N","P3","male",38,0,0,8.6625,"S","L"
"473","Y","P2","female",33,1,2,27.75,"S","L"
"474","Y","P2","female",23,0,0,13.7917,"C","L"
"475","N","P3","female",22,0,0,9.8375,"S","L"
"476","N","P1","male",?,0,0,52,"S","L"
"477","N","P2","male",34,1,0,21,"S","L"
"478","N","P3","male",29,1,0,7.0458,"S","L"
"479","N","P3","male",22,0,0,7.5208,"S","L"
"480","Y","P3","female",2,0,1,12.2875,"S","L"
"481","N","P3","male",9,5,2,46.9,"S","L"
"482","N","P2","male",?,0,0,0,"S","L"
"483","N","P3","male",50,0,0,8.05,"S","L"
"484","Y","P3","female",63,0,0,9.5875,"S","L"
"485","Y","P1","male",25,1,0,91.0792,"C","L"
"486","N","P3","female",?,3,1,25.4667,"S","L"
"487","Y","P1","female",35,1,0,90,"S","L"
"488","N","P1","male",58,0,0,29.7,"C","L"
"489","N","P3","male",30,0,0,8.05,"S","L"
"490","Y","P3","male",9,1,1,15.9,"S","L"
"491","N","P3","male",?,1,0,19.9667,"S","L"
"492","N","P3","male",21,0,0,7.25,"S","L"
"493","N","P1","male",55,0,0,30.5,"S","L"
"494","N","P1","male",71,0,0,49.5042,"C","L"
"495","N","P3","male",21,0,0,8.05,"S","L"
"496","N","P3","male",?,0,0,14.4583,"C","L"
"497","Y","P1","female",54,1,0,78.2667,"C","L"
"498","N","P3","male",?,0,0,15.1,"S","L"
"499","N","P1","female",25,1,2,151.55,"S","H"
"500","N","P3","male",24,0,0,7.7958,"S","L"
"501","N","P3","male",17,0,0,8.6625,"S","L"
"502","N","P3","female",21,0,0,7.75,"Q","L"
"503","N","P3","female",?,0,0,7.6292,"Q","L"
"504","N","P3","female",37,0,0,9.5875,"S","L"
"505","Y","P1","female",16,0,0,86.5,"S","L"
"506","N","P1","male",18,1,0,108.9,"C","H"
"507","Y","P2","female",33,0,2,26,"S","L"
"508","Y","P1","male",?,0,0,26.55,"S","L"
"509","N","P3","male",28,0,0,22.525,"S","L"
"510","Y","P3","male",26,0,0,56.4958,"S","L"
"511","Y","P3","male",29,0,0,7.75,"Q","L"
"512","N","P3","male",?,0,0,8.05,"S","L"
"513","Y","P1","male",36,0,0,26.2875,"S","L"
"514","Y","P1","female",54,1,0,59.4,"C","L"
"515","N","P3","male",24,0,0,7.4958,"S","L"
"516","N","P1","male",47,0,0,34.0208,"S","L"
"517","Y","P2","female",34,0,0,10.5,"S","L"
"518","N","P3","male",?,0,0,24.15,"Q","L"
"519","Y","P2","female",36,1,0,26,"S","L"
"520","N","P3","male",32,0,0,7.8958,"S","L"
"521","Y","P1","female",30,0,0,93.5,"S","L"
"522","N","P3","male",22,0,0,7.8958,"S","L"
"523","N","P3","male",?,0,0,7.225,"C","L"
"524","Y","P1","female",44,0,1,57.9792,"C","L"
"525","N","P3","male",?,0,0,7.2292,"C","L"
